SCHLAGWORT;UEBERSETZUNG
#A1010#Geruch#undefinierbarer Geruch;undefinierbarer Geruch
#A1011#Geruch#Geruch nach Ammoniak;Geruch nach Ammoniak
#A1012#Geruch#Geruch nach Chlor;Geruch nach Chlor
#A1013#Geruch#Geruch nach Erdgas / Gas;Geruch nach Erdgas / Gas
#A1110#Gefahrstoff#auslaufender Kraftstoff (z.B. Benzin, Diesel);auslaufender Kraftstoff (z.B. Benzin, Diesel)
#A1210#Gefahrstoff#verdächtiger Stoff;verdächtiger Stoff
#A1211#Gefahrstoff#undefinierbare Flüssigkeit;undefinierbare Flüssigkeit
#A1212#Gefahrstoff#undefinierbarer Gegenstand;undefinierbarer Gegenstand
#A1213#Gefahrstoff#kleine Menge;kleine Menge
#A1214#Gefahrstoff#Gasaustritt im Freien;Gasaustritt im Freien
#A1215#Gefahrstoff#undefinierbares Pulver;undefinierbares Pulver
#A1310#Gefahrstoff#große Menge;große Menge
#A1311#Gefahrstoff#Gasaustritt brennbar;Gasaustritt brennbar
#A1312#Gefahrstoff#Gasaustritt im Gebäude;Gasaustritt im Gebäude
#A1410#Gefahrstoff#Brand Atom im Gebäude;Brand Atom im Gebäude
#A1411#Gefahrstoff#Brand Atom im Freien;Brand Atom im Freien
#A1412#Gefahrstoff#Brand Atom PKW / LKW;Brand Atom PKW / LKW
#A1413#Gefahrstoff#Brand Atomkraftwerk (AKW);Brand Atomkraftwerk (AKW)
#A1510#Gefahrstoff#Brand Tankstelle;Brand Tankstelle
#A1511#Gefahrstoff#Brand Biogasanlage;Brand Biogasanlage
#A1512#Gefahrstoff#Brand Raffinerie;Brand Raffinerie
#A1513#Gefahrstoff#Brand Tanklager;Brand Tanklager
#A1514#Gefahrstoff#Brand Tankwagen;Brand Tankwagen
#A1610#Gefahrstoff#Brand Bio im Gebäude;Brand Bio im Gebäude
#A1611#Gefahrstoff#Brand Bio im Freien;Brand Bio im Freien
#A1612#Gefahrstoff#Brand Bio PKW / LKW;Brand Bio PKW / LKW
#A1613#Gefahrstoff#Brand Chemie im Gebäude;Brand Chemie im Gebäude
#A1614#Gefahrstoff#Brand Chemie im Freien;Brand Chemie im Freien
#A1615#Gefahrstoff#Brand Chemie Zug;Brand Chemie Zug
#A1616#Gefahrstoff#Brand Chemie LKW;Brand Chemie LKW
#A1710#Gefahrstoff#THL Atom Austritt im Gebäude;THL Atom Austritt im Gebäude
#A1711#Gefahrstoff#THL Atom Austritt im Freien;THL Atom Austritt im Freien
#A1712#Gefahrstoff#THL Atom PKW / LKW;THL Atom PKW / LKW
#A1713#Gefahrstoff#THL VU Atom PKW / LKW;THL VU Atom PKW / LKW
#A1810#Gefahrstoff#THL Bio Austritt im Freien;THL Bio Austritt im Freien
